Instructor,Level,Load,Upper 1st choice:,Upper 2nd choice,Upper 3rd choice:,11,6,7,9,4,8,1,2,Do you volunteer to teach a large lecture?,Lower 1st Choice,Lower 2nd Choice,Lower 3rd Choice,List any courses you would prefer NOT to teach,Early,Midday,Late ,If early AMis your first choice is 8AMokay?,If early AMis your first choice is 8:30 AMokay?,If late PMis your first choice is 4 PMokay?,MWF,TuTh,MW
1,V,0-2,27,24,46,1,1,3,2,1,1,3,3,"No, I do not volunteer to teach large lectures",13,14,9,,3,1,2,No,No,No,1,2,3
2,V,2-2,"28, 39, 41, 36, 23, 37","30, 27","34, 26",3,2,1,3,3,3,3,2,"No, I do not volunteer to teach large lectures","18, 13","17, 16",14,,1,2,3,Yes,,No,3,1,2
3,V,2-2,29,26,25,2,2,2,2,1,2,3,3,"No, I do not volunteer to teach large lectures",14,13,17,"15, 45",3,1,2,No,No,Yes,3,1,2
4,V,2-2,42,36,26,1,2,3,,,,,,"Yes, I volunteer",17,16,14,"28,  34",3,1,2,Yes,Yes,Yes,3,2,1
5,V,2-1,26,24,35,3,3,3,2,2,2,2,2,"No, I do not volunteer to teach large lectures",16,13,14,,3,2,1,,,Yes,3,1,2
6,V,1-2,26,29,25,1,1,1,1,1,1,1,1,"No, I do not volunteer to teach large lectures",12,2,1,,3,1,2,No,No,No,3,2,1
7,V,2-2,26,29,25,1,3,3,1,2,2,1,1,"No, I do not volunteer to teach large lectures",15,2,1,,1,2,3,Yes,Yes,No,3,1,2
8,V,1-2,31,39,28,2,2,2,2,1,1,3,3,"No, I do not volunteer to teach large lectures",13,17,14,18,1,2,3,No,No,No,2,1,3
9,V,0-2,"36, 23","41, 30",46,2,1,1,3,2,2,3,3,"No, I do not volunteer to teach large lectures","18, 16",17,"14, 13",,1,2,3,No,Yes,,2,1,3
10,V,2-1,28,39,34,2,2,2,2,1,1,3,3,"No, I do not volunteer to teach large lectures",17,14,17,"18, 42, 31, 35, 44",1,2,3,No,Yes,No,3,1,2
11,V,1-0,46;,36;,27,2,3,3,2,1,1,3,3,"Yes, I volunteer",13,17,14,,1,2,3,No,Yes,Yes,1,2,3
12,V,2-2,"28, 41","39, 46",36,2,1,1,3,1,1,3,3,"No, I do not volunteer to teach large lectures","13, 14",17,18,"11, 10, 6, 7, 5, 3, 9, 4, 8,  16, 40, 31, 35, 34, 44, 38, 22, 27, 24, 33, 37",1,2,3,Yes,Yes,,3,1,2
13,V,2-2,30,27,"24, 33",2,2,3,3,1,1,3,3,"No, I do not volunteer to teach large lectures","16, 18",17,"14, 13",,3,1,2,,,,3,2,1
14,V,2-2,34,41,37,3,3,3,2,1,1,3,3,"No, I do not volunteer to teach large lectures",13,"14, 17",18,"5, 3, 40, 24, 33",2,3,1,,,Yes,1,3,2
15,V,0-2,2,1,13,3,3,3,3,3,3,2,1,"Yes, I volunteer",13,46,2,,2,1,3,Yes,Yes,Yes,1,2,3
16,V,2-2,29,25,26,3,3,3,3,3,3,2,1,"No, I do not volunteer to teach large lectures",16,2,1,,3,1,2,No,No,Yes,3,1,2
17,V,2-1,14,17,16,,,3,,2,1,,,"No, I do not volunteer to teach large lectures",14,17,16,,3,1,2,No,No,Yes,3,1,2
18,V,2-2,30,44,31,,,,2,1,3,,,"No, I do not volunteer to teach large lectures",30,44,31,"28, 39, 24, 37 33",3,1,2,No,No,Yes,3,2,1
19,L,3-3,-,-,-,3,3,2,3,1,1,3,3,"No, I do not volunteer to teach large lectures",18,17,40,,2,1,3,,Yes,,3,1,2
20,L,4-3,NA,NA,NA,1,1,2,1,3,3,3,3,"Yes, I volunteer","11, 10, 6, 5, 9",7,3,Upper,3,1,2,,,No,1,2,3
